fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005,backend,qubit_fisico,job_id
QPU_IBM,bruta,1,10000,4922,5078,0.4922,0.5078,0.007800000000000029,0.4980002584559113,0.5175937511695061,0.9998244457465396,0.9776676999019436,-0.012947820545780095,5064,0.19889262626070897,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,2,10000,5047,4953,0.5047,0.4953,0.004699999999999982,0.4855042993239887,0.5050993102606957,0.9999362607944081,0.9865020082510227,0.011613828963740311,4942,0.241467733393403,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,3,10000,5038,4962,0.5038,0.4962,0.0038000000000000256,0.48640380386909315,0.5059991145185239,0.9999583345661145,0.9890769728152081,-0.02676197816752337,5134,0.0076745236780261395,False,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,4,10000,5066,4934,0.5066,0.4934,0.006599999999999995,0.4836054495104036,0.5031996192680892,0.9998743087578157,0.9810810178369482,0.015530011951726696,4922,0.11806988516798239,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,5,10000,4893,5107,0.4893,0.5107,0.010700000000000043,0.500900195959935,0.5204915864749325,0.9996696264705318,0.9694520358370333,-0.004760652318843272,5022,0.6411920660924435,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,6,10000,4983,5017,0.4983,0.5017,0.0017000000000000348,0.49190146562867426,0.5114972287768654,0.9999916612065975,0.9951031567851525,-0.0067123000542010725,5034,0.5084861723005013,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,7,10000,4977,5023,0.4977,0.5023,0.0022999999999999687,0.49250128224208,0.5120969513654148,0.9999847362326368,0.99337881987762,-0.009723279345877058,5049,0.3359569457111209,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,8,10000,4883,5117,0.4883,0.5117,0.011700000000000044,0.5019002508509394,0.5214907635871868,0.9996049828978377,0.9666298615394078,0.009363075641632853,4951,0.3442459073959254,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,9,10000,4962,5038,0.4962,0.5038,0.0038000000000000256,0.49400088548147614,0.5135961961309068,0.9999583345661145,0.9890769728152081,-0.0015580015904917647,5008,0.8840858189810136,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,10,10000,5021,4979,0.5021,0.4979,0.0020999999999999908,0.48810295459699443,0.5076986581961622,0.9999872753923289,0.9939533698815852,-0.003717245898910779,5019,0.7175101059891917,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,11,10000,5059,4941,0.5059,0.4941,0.005900000000000016,0.48430500930003884,0.5038995218807351,0.9998995572402358,0.9830758557421786,-0.010239329425296791,5051,0.3105274401377809,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,12,10000,4917,5083,0.4917,0.5083,0.008299999999999974,0.49850022416340894,0.5180934014636378,0.9998012163472088,0.9762478641010051,0.0006246570619156117,4996,0.9422297938825388,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,13,10000,5020,4980,0.502,0.498,0.0020000000000000018,0.48820290816586576,0.5077986278276169,0.9999884584088952,0.994240730711315,-0.005516631592425798,5028,0.5880694576860672,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,14,10000,4977,5023,0.4977,0.5023,0.0022999999999999687,0.49250128224208,0.5120969513654148,0.9999847362326368,0.99337881987762,-0.01772425620281742,5089,0.07802851766829703,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,15,10000,4948,5052,0.4948,0.5052,0.005199999999999982,0.4954005947072216,0.5149954117097233,0.9999219776456703,0.9850734557618972,-0.011812744785942462,5059,0.2415982870842613,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,16,10000,4891,5109,0.4891,0.5109,0.01090000000000002,0.5011002038016813,0.520691425033838,0.9996571596461306,0.9688871591497508,-0.0021809221546963044,5009,0.8355154860538243,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,17,10000,4916,5084,0.4916,0.5084,0.008399999999999963,0.4986002184806799,0.5181933303466926,0.9997963972977278,0.9759640645444906,-0.008985693260768809,5044,0.3742615220347709,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,18,10000,4950,5050,0.495,0.505,0.0050000000000000044,0.49520063154457966,0.5147955284717136,0.9999278640456615,0.98564470702293,-0.013400673400673328,5067,0.1834525340848985,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,19,10000,4962,5038,0.4962,0.5038,0.0038000000000000256,0.49400088548147614,0.5135961961309068,0.9999583345661145,0.9890769728152081,0.008043513295996488,4960,0.41546637573659095,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,20,10000,4989,5011,0.4989,0.5011,0.0010999999999999899,0.4913016631191311,0.5108974920844533,0.9999965086751847,0.9968295571198719,0.013496998786551927,4933,0.17395952430934897,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,21,10000,4965,5035,0.4965,0.5035,0.0034999999999999476,0.49370095778135265,0.5132963542300524,0.9999646536828334,0.9899363166553026,-0.006349941135348822,5032,0.5319960795773966,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,22,10000,4929,5071,0.4929,0.5071,0.007099999999999995,0.49730032292553955,0.5168942242975968,0.999854542597409,0.9796578204828141,0.0014988019788328866,4992,0.8729785703102668,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,23,10000,5037,4963,0.5037,0.4963,0.003699999999999981,0.48650375077757935,0.5060990908103636,0.9999604986492603,0.989363363891263,-0.007354422728188578,5037,0.46811344654770015,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,24,10000,4985,5015,0.4985,0.5015,0.0014999999999999458,0.49170152989173893,0.5112973181131489,0.9999935078625779,0.9956783940499065,0.006491716768805744,4968,0.5098065820750384,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,25,10000,4875,5125,0.4875,0.5125,0.012499999999999956,0.5027003229939034,0.5222900770468296,0.9995491108252483,0.9643760902692787,0.004278049390800802,4976,0.6615345127441443,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,26,10000,4936,5064,0.4936,0.5064,0.006399999999999961,0.4966004065975672,0.5161946782232881,0.9998818111947847,0.9816506901211082,0.0005388346701896505,4997,0.9492651561488883,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,27,10000,4989,5011,0.4989,0.5011,0.0010999999999999899,0.4913016631191311,0.5108974920844533,0.9999965086751847,0.9968295571198719,-0.004305281893943499,5022,0.674115070533602,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
QPU_IBM,bruta,28,10000,4973,5027,0.4973,0.5027,0.0027000000000000357,0.49290116781992765,0.5124967585888708,0.9999789654040749,0.9922304058540823,0.004871476347522548,4976,0.6191020651755579,True,ibm_marrakesh,0,da137vu3kjvs73868gp0
