fonte,condicao,lote,n_bits,zeros,uns,p0,p1,vies,ic95_p1_inferior,ic95_p1_superior,entropia_shannon,min_entropia_empirica,autocorrelacao_lag1,numero_runs,runs_p_valor,runs_aprovado_alfa_005,taxa_util
QPU_IBM,von_neumann,1,2512,1278,1234,0.5087579617834395,0.4912420382165605,0.008757961783439516,0.47172056761858927,0.5107902540209329,0.9997786737958306,0.9749486279446327,0.0152428770327538,1237,0.43356487157500384,True,0.2512
QPU_IBM,sha256_1024_para_256,1,2304,1138,1166,0.4939236111111111,0.5060763888888888,0.0060763888888888395,0.48566848580463867,0.5264640633758878,0.9998934615566053,0.9825729282418161,0.0063766716700483705,1145,0.7441495102449007,True,0.2304
QPU_IBM,von_neumann,2,2479,1260,1219,0.5082694634933441,0.49173053650665594,0.008269463493344065,0.47207876860578835,0.5114078934787598,0.9998026764118494,0.9763345376994433,-0.022058080915032745,1267,0.2807606200929945,True,0.2479
QPU_IBM,sha256_1024_para_256,2,2304,1166,1138,0.5060763888888888,0.4939236111111111,0.006076388888888895,0.4735359366241123,0.5143315141953614,0.9998934615566053,0.9825729282418161,-0.0292444461893151,1186,0.16678952334052136,True,0.2304
QPU_IBM,von_neumann,3,2580,1264,1316,0.48992248062015503,0.5100775193798449,0.010077519379844913,0.4907874179483174,0.5293376558337766,0.9997069503371918,0.9712115765753752,0.0007412274051989151,1289,0.9536282518500953,True,0.258
QPU_IBM,sha256_1024_para_256,3,2304,1160,1144,0.5034722222222222,0.4965277777777778,0.00347222222222221,0.4761347557257523,0.5169323590282328,0.9999652125135791,0.9900159114273779,-0.003087741951110826,1156,0.8986644890471792,True,0.2304
QPU_IBM,von_neumann,4,2502,1222,1280,0.48840927258193445,0.5115907274180655,0.01159072741806555,0.4920014297429458,0.5311444878871727,0.9996123276533053,0.9669379792784575,-0.009720795066726774,1263,0.6404653523337756,True,0.2502
QPU_IBM,sha256_1024_para_256,4,2304,1183,1121,0.5134548611111112,0.4865451388888889,0.013454861111111105,0.4661756170575105,0.5069594526141811,0.9994775852874282,0.9616906431025238,-0.0011834319526627156,1153,0.9722462821381906,True,0.2304
QPU_IBM,von_neumann,5,2495,1243,1252,0.49819639278557115,0.5018036072144288,0.0018036072144288484,0.48219677906309877,0.5214048900096753,0.9999906138086401,0.9948052532920045,0.042486610794709355,1195,0.03219745689357251,False,0.2495
QPU_IBM,sha256_1024_para_256,5,2304,1152,1152,0.5,0.5,0.0,0.4796007072805035,0.5203992927194965,1.0,1.0,-0.008249921565788177,1162,0.7075998982834705,True,0.2304
QPU_IBM,von_neumann,6,2577,1284,1293,0.49825378346915017,0.5017462165308498,0.0017462165308498312,0.48245350367459866,0.5210337310678688,0.9999912016424307,0.9949702620493653,-0.04659394500544947,1349,0.019012971445021,False,0.2577
QPU_IBM,sha256_1024_para_256,6,2304,1181,1123,0.5125868055555556,0.4874131944444444,0.01258680555555558,0.46704130665916976,0.5078269843240255,0.999542826067348,0.964131752045155,-0.008889821307664941,1162,0.6849164459939204,True,0.2304
QPU_IBM,von_neumann,7,2519,1211,1308,0.48074632790789995,0.5192536720921,0.01925367209210005,0.4997280919080429,0.5387206182401338,0.9989301101755576,0.9454885812361586,-0.006258811921723246,1266,0.7686927402270737,True,0.2519
QPU_IBM,sha256_1024_para_256,7,2304,1151,1153,0.4995659722222222,0.5004340277777778,0.0004340277777777901,0.4800340202812301,0.5208325903745219,0.9999994564498254,0.9987482037905404,0.019539183574662486,1130,0.3378076629820483,True,0.2304
QPU_IBM,von_neumann,8,2445,1222,1223,0.49979550102249487,0.5002044989775051,0.00020449897750507429,0.48040087098669837,0.520007485379696,0.9999998793334687,0.9994100613122096,-0.009001639675253054,1234,0.6709876454059553,True,0.2445
QPU_IBM,sha256_1024_para_256,8,2304,1194,1110,0.5182291666666666,0.4817708333333333,0.018229166666666685,0.46141542290879217,0.5021869295496286,0.9990409650865106,0.9483378801775074,0.008636509871268181,1141,0.6622030197415338,True,0.2304
QPU_IBM,von_neumann,9,2510,1247,1263,0.4968127490039841,0.5031872509960159,0.0031872509960159112,0.48363717040227433,0.5227275905669818,0.999970688367506,0.9908327250505822,-0.013193696916875304,1272,0.5215789594944841,True,0.251
QPU_IBM,sha256_1024_para_256,9,2304,1161,1143,0.50390625,0.49609375,0.00390625,0.475701580839869,0.5164989232583641,0.9999559719934967,0.9887727445767459,-0.010048488880371425,1164,0.6445178414587737,True,0.2304
QPU_IBM,von_neumann,10,2537,1270,1267,0.5005912495072921,0.49940875049270794,0.0005912495072920576,0.47996817846407724,0.518851110323271,0.9999989913366998,0.998295022404411,-0.05520570361289778,1339,0.005775323164789775,False,0.2537
